,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
0,21963,24.0,5.0,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,20002.52025705942
1,10410,35.0,4.3,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,20002.520257046745
2,38301,38.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,36,20002.520257046745
3,44997,27.0,4.9,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,20002.520257046745
4,16861,20.0,4.7,Cloudy,Jam,0,Buffet,motorcycle,0.0,Yes,,42,20002.520257046745
5,7720,37.0,4.9,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,29,20002.520257042732
6,22162,22.0,5.0,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,12,20002.520257042732
7,13431,,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,27,20002.520257042732
8,28737,38.0,3.7,Sandstorms,Jam,2,Drinks,electric_scooter,3.0,No,Metropolitian,44,20002.52025703843
9,41391,,,,,3,Snack,electric_scooter,1.0,No,Metropolitian,31,20002.52025703843
10,13705,34.0,4.4,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,51,20002.52025703843
11,41447,35.0,5.0,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,37,20002.52025703843
12,27512,29.0,4.4,Cloudy,Jam,2,Buffet,scooter,1.0,No,,36,20002.520257037824
13,44248,20.0,4.8,Windy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,15,20002.520257037824
14,7755,26.0,4.6,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,23,20002.520257037824
15,25267,37.0,4.7,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,26,20002.520257032207
16,39689,30.0,4.9,Cloudy,Jam,0,Snack,motorcycle,1.0,Yes,Metropolitian,53,20002.520257032207
17,15031,37.0,4.9,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,20002.52025703129
18,10307,23.0,5.0,Sunny,Low,2,Meal,scooter,1.0,No,Urban,24,20002.52025703129
19,39568,22.0,4.7,Sandstorms,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,20002.520257028576
20,42595,38.0,5.0,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,29,20002.520257028576
21,21105,29.0,4.9,Windy,High,2,Snack,electric_scooter,1.0,No,Urban,13,20002.52025702837
22,22739,20.0,4.9,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,40,20002.52025702837
23,37144,30.0,4.8,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,26,20002.520257028355
24,32367,24.0,4.7,Stormy,Jam,1,Meal,scooter,0.0,No,Urban,28,20002.520257028355
25,44899,28.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Urban,26,20002.520257028125
26,2408,39.0,4.9,Windy,Jam,0,Snack,motorcycle,0.0,Yes,Semi-Urban,50,20002.520257028125
27,38238,29.0,4.8,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,20002.520257028125
28,342,33.0,3.9,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,32,20002.520257027973
29,37322,35.0,3.6,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,32,20002.520257027973
30,21967,28.0,4.5,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,20002.520257027798
31,13832,30.0,4.4,Fog,Jam,2,Snack,scooter,2.0,No,Metropolitian,40,20002.520257027798
32,38034,,,Sunny,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,28,20002.520257027798
